オーダーID,オーダーID枝番,受付日,得意先コード,商品コード,ステータス,数量
1,1,2026/01/01,A000005,AAA00010,受注,30
1,2,2026/01/06,A000005,AAA00010,出荷準備,30
1,3,2026/01/15,A000005,AAA00010,出荷済,30
1,4,2026/01/16,A000005,AAA00010,完了,30
2,1,2026/01/02,A000010,AAA00005,受注,440
2,2,2026/01/04,A000010,AAA00005,出荷準備,440
2,3,2026/01/09,A000010,AAA00005,出荷済,440
3,1,2026/01/04,A000007,AAA00010,受注,720
3,2,2026/01/11,A000007,AAA00010,出荷準備,720
4,1,2026/01/05,A000001,AAA00001,受注,80
5,1,2026/01/09,A000003,AAA00002,受注,270
6,1,2026/01/11,A000009,AAA00004,受注,310
7,1,2026/01/12,A000002,AAA00003,受注,450
7,2,2026/01/16,A000002,AAA00003,出荷準備,450
8,1,2026/01/16,A000007,AAA00005,受注,930
8,2,2026/01/17,A000007,AAA00005,出荷準備,930
8,3,2026/01/22,A000007,AAA00005,出荷済,930
9,1,2026/01/21,A000007,AAA00004,受注,710
9,2,2026/01/26,A000007,AAA00004,出荷準備,710
9,3,2026/02/04,A000007,AAA00004,出荷済,710
9,4,2026/02/12,A000007,AAA00004,完了,710
10,1,2026/01/22,A000001,AAA00001,受注,10
10,2,2026/01/27,A000001,AAA00001,出荷準備,10
10,3,2026/02/03,A000001,AAA00001,出荷済,10
11,1,2026/01/26,A000001,AAA00008,受注,300
11,2,2026/02/05,A000001,AAA00008,出荷準備,300
12,1,2026/01/31,A000003,AAA00001,受注,530
12,2,2026/02/06,A000003,AAA00001,出荷準備,530
12,3,2026/02/11,A000003,AAA00001,出荷済,530
12,4,2026/02/14,A000003,AAA00001,完了,530
13,1,2026/02/01,A000009,AAA00009,受注,210
13,2,2026/02/05,A000009,AAA00009,出荷準備,210
13,3,2026/02/12,A000009,AAA00009,出荷済,210
14,1,2026/02/05,A000008,AAA00009,受注,590
14,2,2026/02/08,A000008,AAA00009,出荷準備,590
15,1,2026/02/09,A000004,AAA00002,受注,350
15,2,2026/02/16,A000004,AAA00002,出荷準備,350
16,1,2026/02/14,A000007,AAA00006,受注,630
17,1,2026/02/17,A000011,AAA00003,受注,280
18,1,2026/02/22,A000003,AAA00008,受注,320
18,2,2026/02/28,A000003,AAA00008,出荷準備,320
19,1,2026/02/26,A000007,AAA00002,受注,840
19,2,2026/03/06,A000007,AAA00002,出荷準備,840
19,3,2026/03/12,A000007,AAA00002,出荷済,840
20,1,2026/03/03,A000008,AAA00001,受注,200
20,2,2026/03/07,A000008,AAA00001,出荷準備,200
21,1,2026/03/06,A000004,AAA00004,受注,320
21,2,2026/03/10,A000004,AAA00004,出荷準備,320
21,3,2026/03/17,A000004,AAA00004,出荷済,320
21,4,2026/03/21,A000004,AAA00004,完了,320
22,1,2026/03/09,A000007,AAA00007,受注,40
22,2,2026/03/13,A000007,AAA00007,出荷準備,40
23,1,2026/03/11,A000003,AAA00004,受注,780
23,2,2026/03/17,A000003,AAA00004,出荷準備,780
23,3,2026/03/26,A000003,AAA00004,出荷済,780
24,1,2026/03/12,A000003,AAA00008,受注,970
24,2,2026/03/17,A000003,AAA00008,出荷準備,970
25,1,2026/03/17,A000001,AAA00010,受注,190
26,1,2026/03/19,A000007,AAA00006,受注,990
26,2,2026/03/28,A000007,AAA00006,出荷準備,990
26,3,2026/04/05,A000007,AAA00006,出荷済,990
27,1,2026/03/24,A000011,AAA00010,受注,160
27,2,2026/03/28,A000011,AAA00010,出荷準備,160
27,3,2026/04/03,A000011,AAA00010,出荷済,160
28,1,2026/03/29,A000008,AAA00006,受注,630
28,2,2026/04/07,A000008,AAA00006,出荷準備,630
29,1,2026/04/03,A000002,AAA00002,受注,280
