month,area,category,odr_count,total_amount
2026-01,AS,AAA,3,62000
2026-01,AS,BBB,2,2456400
2026-01,AS,DDD,1,450000
2026-01,EU,CCC,1,2999880
2026-01,NA,AAA,1,91140
2026-01,NA,CCC,2,320453810
2026-01,SA,AAA,1,43120
2026-01,SA,CCC,1,108481090
2026-02,AS,BBB,2,2942560
2026-02,NA,AAA,1,75600
2026-02,NA,BBB,2,7318000
2026-02,SA,BBB,1,1050000
2026-02,SA,DDD,1,280000
2026-03,AS,BBB,1,3402760
2026-03,AS,CCC,3,403932140
2026-03,NA,AAA,4,218440
2026-03,SA,CCC,1,15999360
2026-04,AS,BBB,1,1456000
